Category,Marker,gender,Short,Units,Clinical Range,CELLUIQ Range,If Low (Symptoms),If High (Symptoms),Supplement (Low),Dosage (Low),Preferred Form (Low),Mechanism (Low),Supplement (High),Dosage (High),Preferred Form (High),Mechanism (High),Food (Low),Food (High),Medication (Low),Dosage (Med Low),Preferred Form (Med Low),Medication (High),Dosage (Med High),Preferred Form (Med High),Lifestyle (Low),Lifestyle (High),Warnings (Low),Warnings (High),Studies (with links),
Hormones,Testosterone Total,male,TT,ng/dL,300-1000,900-1200,"Low libido, muscle loss, depression.","Acne, aggression, erythrocytosis.",Zinc,30-50 mg/day,Zinc picolinate,Boosts LH and testicular function.,DIM,200 mg/day,Diindolylmethane,Reduces estrogen conversion from testosterone.,"Beef, eggs",Broccoli,Testosterone cypionate,100-200 mg/week,Injectable,Anastrozole,0.5 mg 2x/week,Oral tablet,Heavy lifting,Avoid plastics,Zinc >50 mg: nausea,DIM: headaches,TRAVERSE 2024 NEJM; Zinc RCT PMC,
Hormones,Free Testosterone,male,FT,pg/mL,50-210,150-250,"Erectile dysfunction, mood swings.",Similar to TT high.,Boron,6-10 mg/day,Boron glycinate,Reduces SHBG binding.,Calcium D-Glucarate,500 mg/day,Capsule,Enhances estrogen excretion.,Fatty fish,Flaxseeds,hCG,500 IU 3x/week,Injectable,Anastrozole,0.25 mg/day,Oral,Intermittent fasting,Limit endurance cardio,Boron >10 mg: hormonal imbalance,GI upset,EMAS 2025 PubMed,
Hormones,DHT,male,DHT,ng/dL,30-85,50-80,"Low libido, poor hair growth.","Hair loss, prostate enlargement.",Saw Palmetto,320 mg/day,Extract,Inhibits 5-alpha reductase.,Finasteride,1 mg/day,Oral tablet,Blocks DHT production.,Pumpkin seeds,Broccoli,None standard,N/A,N/A,Finasteride,1 mg/day,Oral tablet,Stress management,Low-carb diet,Saw Palmetto: libido reduction,Finasteride: sexual side effects,Prostate 2024 PubMed,
Hormones,SHBG,male,SHBG,nmol/L,10-57,15-35,High free T (rare).,Low free T despite high TT.,Nettle Root,300 mg/day,Extract,"Binds to SHBG, freeing testosterone.",Boron,10 mg/day,Glycinate,Reduces SHBG production.,Green tea,High-carb diet,None standard,N/A,N/A,Metformin,500-1000 mg/day,Oral tablet,Low-carb diet,Balanced diet,Nettle: mild diuretic,Metformin: GI upset,JCEM 2023 PubMed,
Hormones,Estradiol,male,E2,pg/mL,10-40,20-30,"Joint pain, low mood.","Gynecomastia, water retention.",DIM,200-300 mg/day,Capsule,Promotes estrogen metabolism to less potent forms.,Anastrozole,0.25-0.5 mg/day,Oral tablet,Inhibits aromatase enzyme.,Broccoli sprouts,Alcohol,None standard,N/A,N/A,Anastrozole,0.25-0.5 mg/day,Oral tablet,Fat loss,Avoid alcohol,DIM: headaches at high doses,Anastrozole: bone loss,ENDO 2025 PubMed,
Hormones,Estrone,male,E1,pg/mL,10-60,20-40,Similar to low E2.,Similar to high E2.,Calcium D-Glucarate,500 mg/day,Capsule,Enhances glucuronidation for estrogen excretion.,Anastrozole,0.25 mg/day,Oral tablet,Inhibits aromatase.,Citrus fruits,Alcohol,None standard,N/A,N/A,Anastrozole,0.25 mg/day,Oral tablet,Detox sauna,Low-fat diet,GI upset,Bone density reduction,Liver health PMC,
Hormones,Prolactin,male,PRL,ng/mL,2-18,<10,"Low libido, mood issues","Erectile dysfunction, low libido.",Vitamin B6 (P5P),50-100 mg/day,Pyridoxal-5-phosphate,Increases dopamine to inhibit prolactin release.,Mucuna Pruriens,300 mg/day,Extract,Dopamine precursor.,Poultry,High-carb diet,None standard,N/A,N/A,Cabergoline,0.5 mg 2x/week,Oral tablet,Orgasm abstinence,Balanced diet,B6 >100 mg: neuropathy,Mucuna: insomnia,Urology 2024 PubMed,
Hormones,LH,male,LH,mIU/mL,1.5-9.3,4-7,Hypogonadism.,Primary testicular failure.,Clomiphene,25 mg/day,Oral tablet,Stimulates pituitary LH release.,hCG,500 IU 3x/week,Injectable,Mimics LH to stimulate testosterone,Zinc-rich foods,Low-zinc diet,Clomid cycles,Physician-guided,Oral,None standard,N/A,N/A,Heavy lifting,Avoid overtraining,Clomiphene: vision changes,hCG: gynecomastia,PubMed,
Hormones,FSH,male,FSH,mIU/mL,1.4-18.1,3-8,Hypogonadism.,Spermatogenesis issues.,Clomiphene,25 mg/day,Oral tablet,Stimulates pituitary FSH release.,hCG,500 IU 3x/week,Injectable,Supports spermatogenesis,Zinc-rich foods,Low-zinc diet,Clomid cycles,Physician-guided,Oral,None standard,N/A,N/A,Heavy lifting,Avoid overtraining,Clomiphene: mood swings,hCG: gynecomastia,PubMed,
Hormones,AMH,male,AMH,ng/mL,0.7-19,2-10,Infertility.,Rare; testicular issues,Vitamin D,2000 IU/day,Cholecalciferol,Supports testicular function,Omega-3,2 g/day,Fish oil,Reduces inflammation,Fatty fish,Low-vitamin D diet,None standard,N/A,N/A,None standard,N/A,N/A,Sun exposure,Balanced diet,Vit D excess: hypercalcemia,Omega-3: bleeding,PubMed,
Hormones,PSA Total,male,PSA T,ng/mL,<4,<2,Rare; possible prostate atrophy,Prostate issues.,Lycopene,15-30 mg/day,Tomato extract,Antioxidant protection for prostate.,Saw Palmetto,320 mg/day,Extract,Reduces prostate inflammation.,Tomatoes,High-fat diet,None standard,N/A,N/A,Finasteride,1 mg/day,Oral tablet,Exercise,Low-fat diet,Lycopene: GI upset,Saw Palmetto: libido,AUA 2025 PubMed,
Hormones,PSA Free,male,PSA F,% free,>25,>30,Rare; possible prostate atrophy,Cancer risk.,Lycopene,15-30 mg/day,Tomato extract,Improves PSA ratio by reducing bound PSA.,Saw Palmetto,320 mg/day,Extract,Enhances free PSA fraction.,Tomatoes,High-fat diet,None standard,N/A,N/A,Finasteride,1 mg/day,Oral tablet,Exercise,Low-fat diet,Lycopene: skin discoloration high dose,Saw Palmetto: libido,Ratio insights PMC,
Hormones,DHEA-S,male,DHEA-S,µg/dL,100-500,300-400,"Fatigue, immune weakness.","Acne, hair loss.",DHEA,25-50 mg/day,Transdermal cream,Precursor to adrenal hormones.,Saw Palmetto,320 mg/day,Extract,Reduces androgen excess.,Eggs,High-carb diet,DHEA (Rx),25 mg/day,Oral tablet,Finasteride,1 mg/day,Oral tablet,Strength training,Balanced diet,DHEA: estrogen conversion,Saw Palmetto: libido,AGING 2023 PubMed,
Hormones,Pregnenolone,male,Preg,ng/dL,20-200,80-150,Fatigue.,Rare.,Pregnenolone,50 mg/day,Micronized,Precursor to steroid hormones.,Ashwagandha,600 mg/day,Extract,Balances steroid production.,Eggs,High-carb diet,Pregnenolone (Rx),50 mg/day,Oral tablet,None standard,N/A,N/A,Sleep,Stress reduction,Pregnenolone: insomnia,Ashwagandha: GI,Neuroprotective PubMed,
Hormones,Progesterone,male,Prog,ng/mL,<0.5,<0.2,"Low libido, mood issues",Rare.,Chasteberry,400 mg/day,Extract,Stimulates progesterone production.,Progesterone,100 mg/day,Micronized,Direct replacement.,Eggs,High-carb diet,Progesterone (Rx),100 mg/day,Oral tablet,None standard,N/A,N/A,Exercise,Balanced diet,Chasteberry: hormonal imbalance,Progesterone: drowsiness,Balance marker PMC,
Inflammation,CRP (hs-CRP),male,hsCRP,mg/L,<3,<0.5,Rare; possible undernutrition or low immune activity.,"Chronic inflammation; increased CVD risk, fatigue, joint pain.",Curcumin,500-1000 mg/day,Turmeric extract with piperine,Inhibits NF-kB pathway to reduce cytokine production.,Omega-3 (EPA/DHA),3-6 g/day,Fish oil capsules,Reduces pro-inflammatory eicosanoids.,"Turmeric, ginger","Berries, green tea",Aspirin (anti-inflammatory),81 mg/day,Low-dose aspirin,"Statins (e.g., atorvastatin)",10-40 mg/day,Oral tablet,Intermittent fasting,"HIIT, 7-9 h sleep",Curcumin: GI upset >2g,Omega-3 >3g: bleeding risk,JUPITER Trial NEJM; CANTOS NEJM,
Inflammation,ESR,male,ESR,mm/hr,<20,<10,Rare,Inflammation.,Curcumin,500-1000 mg/day,Turmeric extract,Reduces inflammatory markers.,Omega-3,3-6 g/day,Fish oil,Lowers sedimentation rate via anti-inflammation.,"Turmeric, ginger",Berries,None standard,N/A,N/A,Aspirin,81 mg/day,Oral,Intermittent fasting,Stress reduction,Curcumin: GI,Omega-3: bleeding,PMC,
Inflammation,TNF-alpha,male,TNF-α,pg/mL,<8,<5,Rare,Chronic inflammation.,Curcumin,1-2 g/day,Turmeric extract,Inhibits TNF-alpha production.,Omega-3,3-6 g/day,Fish oil,Suppresses cytokine release.,Anti-inflam diet,Processed foods,None standard,N/A,N/A,Infliximab,Physician-guided,Infusion,Fasting,Low-carb diet,Curcumin: interactions,Omega-3: bleeding,PMC,
Inflammation,IL-6,male,IL-6,pg/mL,<5,<2,Rare,Inflammation.,Resveratrol,500 mg/day,Extract,Blocks IL-6 signaling.,Curcumin,1-2 g/day,Turmeric extract,Reduces IL-6 expression.,Berries,Processed foods,None standard,N/A,N/A,Tocilizumab,Physician-guided,Infusion,Exercise,Balanced diet,Resveratrol: GI,Curcumin: interactions,PMC,
Iron Metabolism,Serum Iron,male,Fe,µg/dL,60-170,100-150,Iron deficiency anemia.,Hemochromatosis.,Iron bisglycinate,25-50 mg/day,Bisglycinate,Replenishes serum iron stores.,Curcumin,500 mg/day,Turmeric extract,Chelates excess iron.,Beef liver,Tea with meals,IV iron,As needed,Infusion,Chelation,As needed,IV,Exercise,Donate blood,Iron: constipation,Curcumin: GI,PubMed,
Iron Metabolism,Ferritin,male,Ferritin,ng/mL,30-400,100-200,"Iron deficiency: hair loss, fatigue.",Inflammation/overload.,Iron,25 mg/day,Bisglycinate,Builds iron stores.,IP6,500 mg/day,Phytic acid,Chelates excess iron.,Oysters,Coffee,IV iron,As needed,Infusion,Phlebotomy,As needed,Procedure,Exercise,Sauna,Iron: toxicity,IP6: mineral loss,2025 Biohacking PubMed,
Iron Metabolism,TIBC,male,TIBC,µg/dL,240-450,250-350,Iron overload.,Iron deficiency.,None standard,N/A,N/A,N/A,Iron,25 mg/day,Bisglycinate,Increases iron binding,Tea,Iron-rich foods,Chelation,As needed,IV,IV iron,As needed,Infusion,Balanced diet,Exercise,N/A,Iron: constipation,PMC,
Iron Metabolism,Transferrin,male,Tf,mg/dL,200-360,220-320,Iron deficiency.,Iron overload.,Iron,25 mg/day,Bisglycinate,Increases transferrin saturation.,Curcumin,500 mg/day,Extract,Reduces iron binding.,Red meat,Low-iron diet,None standard,N/A,N/A,Chelation,As needed,IV,Balanced diet,Hydration,Iron: GI,Curcumin: interactions,PubMed,
Iron Metabolism,Transferrin Saturation,male,TSAT,%,20-50,30-45,Iron deficiency.,Overload.,Iron,25 mg/day,Bisglycinate,Increases saturation.,Curcumin,500 mg/day,Extract,Lowers saturation.,Red meat,Low-iron diet,None standard,N/A,N/A,Chelation,As needed,IV,Exercise,Donate blood,Iron: toxicity,Curcumin: GI,PMC,
Iron Metabolism,UIBC,male,UIBC,µg/dL,110-370,150-300,Iron overload.,Iron deficiency.,Iron,25 mg/day,Bisglycinate,Reduces unsaturated capacity.,Curcumin,500 mg/day,Extract,Increases UIBC.,Red meat,Low-iron diet,None standard,N/A,N/A,Chelation,As needed,IV,Balanced diet,Hydration,Iron: constipation,Curcumin: interactions,PubMed,
Kidney Function,Creatinine,male,Cr,mg/dL,0.6-1.3,0.8-1.1,Muscle loss.,Kidney dysfunction.,Creatine,3-5 g/day,Monohydrate,Increases muscle creatinine.,Astragalus,500 mg/day,Extract,Protects kidney function.,Protein-rich,Low-protein diet,None standard,N/A,N/A,ACE inhibitors,5-10 mg/day,Oral,Hydration,Low-protein diet,Creatine: GI,Astragalus: interactions,PMC,
Kidney Function,BUN,male,BUN,mg/dL,6-20,8-15,Dehydration.,Kidney issues.,Branched-chain amino acids,5 g/day,BCAA mix,Reduces protein breakdown.,Omega-3,2 g/day,Fish oil,Reduces inflammation in kidneys.,Low-protein diet,High-protein diet,None standard,N/A,N/A,ACE inhibitors,5-10 mg/day,Oral,Hydration,Low-protein diet,BCAA: GI,Omega-3: bleeding,PMC,
Kidney Function,eGFR,male,eGFR,mL/min,>90,>100,Kidney disease.,Rare.,Astragalus,500 mg/day,Extract,Improves glomerular filtration.,CoQ10,200 mg/day,Ubiquinol,Antioxidant protection for kidneys.,Berries,High-sodium diet,None standard,N/A,N/A,ACE inhibitors,5-10 mg/day,Oral,Hydration,Low-sodium diet,Astragalus: hypotension,CoQ10: GI,PMC,
Kidney Function,Cystatin C,male,Cys C,mg/L,0.6-1.0,0.7-0.9,Kidney dysfunction.,Rare.,Omega-3,2 g/day,Capsule,Reduces cystatin C via anti-inflammation.,Vitamin D,2000 IU/day,Cholecalciferol,Supports kidney health.,Fatty fish,High-sodium diet,None standard,N/A,N/A,ACE inhibitors,5-10 mg/day,Oral,Hydration,Balanced diet,Omega-3: bleeding,Vit D: hypercalcemia,PMC,
Kidney Function,Uric Acid,male,UA,mg/dL,3.5-7.2,4-6,Rare; possible oxidative stress,Gout.,Cherry extract,500 mg/day,Capsule,Reduces uric acid production.,Allopurinol,100-300 mg/day,Oral,Inhibits xanthine oxidase.,Cherries,Low-purine diet,None standard,N/A,N/A,Allopurinol,100-300 mg/day,Oral,Hydration,Low-purine diet,Cherry: GI,Allopurinol: rash,PMC,
Lipids,LDL Cholesterol,male,LDL-C,mg/dL,<130,<70,Rare.,"Atherosclerosis, CVD risk.",Plant Sterols,2 g/day,Beta-sitosterol,Block cholesterol absorption in gut.,Berberine,500 mg 3x/day,Extract,Activates AMPK to lower LDL synthesis.,"Nuts, apples",Oats,None standard,N/A,N/A,Atorvastatin,10-40 mg/day,Oral tablet,Low-carb diet,Balanced diet,Plant sterols: GI upset,Berberine: drug interactions,FOURIER NEJM,
Lipids,HDL Cholesterol,male,HDL-C,mg/dL,>40,>60,Increased CVD risk.,Rare.,Niacin,500-2000 mg/day,Extended-release,Increases HDL production in liver.,Omega-3,2 g/day,Fish oil,Enhances HDL function.,Avocado,Low-fat diet,None standard,N/A,N/A,Fenofibrate,145 mg/day,Oral tablet,HIIT,Balanced diet,Niacin: flushing,Omega-3: bleeding,Framingham PubMed,
Lipids,Cholesterol Total,male,TC,mg/dL,<200,<180,Rare.,CVD risk if imbalanced.,Plant Sterols,2 g/day,Beta-sitosterol,Reduces intestinal cholesterol absorption.,Berberine,500 mg 3x/day,Extract,Inhibits PCSK9 to lower cholesterol.,Fiber-rich foods,High-fat diet,None standard,N/A,N/A,Statins,10-40 mg/day,Oral tablet,Exercise,Low-fat diet,Plant sterols: constipation,Berberine: GI,Similar to LDL PMC,
Lipids,Triglycerides,male,TG,mg/dL,<150,<100,Rare.,Metabolic syndrome.,Omega-3,4 g/day,EPA/DHA,Reduces hepatic TG synthesis.,Fenofibrate,145 mg/day,Oral tablet,Activates PPAR-alpha for TG breakdown.,Fish,Low-carb diet,None standard,N/A,N/A,Fenofibrate,145 mg/day,Oral tablet,Intermittent fasting,Balanced diet,Omega-3 >3g: bleeding,Fenofibrate: myopathy,PubMed,
Lipids,ApoB,male,ApoB,mg/dL,<90,<70,Rare.,CVD risk.,Plant Sterols,2 g/day,Beta-sitosterol,Lowers ApoB-containing lipoproteins.,Berberine,500 mg 3x/day,Extract,Reduces ApoB production in liver.,Nuts,High-fat diet,None standard,N/A,N/A,Evolocumab,140 mg/2 weeks,Injectable,Low-carb diet,Balanced diet,Plant sterols: GI,Berberine: interactions,AMORIS PubMed,
Lipids,ApoA1,male,ApoA1,mg/dL,>120,>140,CVD risk.,Rare.,Niacin,500-2000 mg/day,Extended-release,Increases ApoA1 expression.,Omega-3,2 g/day,Fish oil,Enhances HDL with ApoA1.,Avocado,Low-fat diet,None standard,N/A,N/A,None standard,N/A,N/A,HIIT,Balanced diet,Niacin: flushing,Omega-3: bleeding,PMC,
Lipids,Lp(a),male,Lp(a),mg/dL,<30,<10,Rare.,Genetic CVD risk.,Niacin,1-3 g/day,Extended-release,Reduces Lp(a) production in liver.,Aspirin,81 mg/day,Low-dose,Inhibits Lp(a) expression.,Low-fat foods,High-fat diet,None standard,N/A,N/A,Apheresis,As needed,Procedure,Low-carb diet,Balanced diet,Niacin: liver toxicity,Aspirin: bleeding,AIM-HIGH NEJM,
Lipids,Omega-3 Index,male,O3 Index,%,>4,>8,CVD risk.,Rare.,Omega-3,2-4 g/day,EPA/DHA,Increases erythrocyte omega-3 content.,None standard,N/A,N/A,N/A,Salmon,High-omega-6 diet,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Balanced diet,Omega-3: bleeding,N/A,>8% reduces CVD PubMed,
Lipids,EPA,male,EPA,µg/mL,>50,>100,Inflammation.,Rare; bleeding risk,Omega-3,2-4 g/day,Capsule,Anti-inflammatory eicosanoids.,None standard,N/A,N/A,N/A,Fish oil,High-omega-6 diet,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Balanced diet,Bleeding risk,N/A,PMC,
